,day,month,year,temp
0,2,10,2016,28.0
1,3,10,2016,28.4
2,6,10,2016,28.8
3,7,10,2016,28.1
4,8,10,2016,28.3
5,9,10,2016,28.9
6,10,10,2016,28.5
7,11,10,2016,28.4
8,12,10,2016,29.1
9,13,10,2016,26.0
10,14,10,2016,24.9
11,15,10,2016,24.3
12,16,10,2016,27.1
13,17,10,2016,28.0
14,18,10,2016,28.5
15,19,10,2016,28.3
16,20,10,2016,27.8
17,21,10,2016,28.7
18,22,10,2016,29.2
19,23,10,2016,28.6
20,24,10,2016,28.3
21,25,10,2016,26.7
22,26,10,2016,27.3
23,27,10,2016,27.9
24,28,10,2016,28.2
25,29,10,2016,27.8
26,30,10,2016,22.7
27,31,10,2016,21.2
28,1,11,2016,22.3
29,2,11,2016,22.2
30,3,11,2016,22.8
31,4,11,2016,22.4
32,5,11,2016,23.8
33,6,11,2016,24.4
34,7,11,2016,25.2
35,8,11,2016,24.3
36,9,11,2016,17.0
37,10,11,2016,16.2
38,11,11,2016,18.7
39,12,11,2016,21.6
40,13,11,2016,24.2
41,14,11,2016,26.0
42,15,11,2016,26.9
43,16,11,2016,25.8
44,17,11,2016,25.8
45,18,11,2016,25.4
46,19,11,2016,26.5
47,20,11,2016,26.7
48,21,11,2016,27.2
49,22,11,2016,27.5
50,23,11,2016,26.9
51,24,11,2016,19.0
52,25,11,2016,18.7
53,26,11,2016,18.6
54,27,11,2016,19.2
55,28,11,2016,18.3
56,29,11,2016,19.0
57,30,11,2016,21.0
58,1,12,2016,19.7
59,2,12,2016,21.3
60,3,12,2016,21.7
61,4,12,2016,22.3
62,5,12,2016,22.9
63,6,12,2016,23.0
64,7,12,2016,19.6
65,8,12,2016,20.3
66,9,12,2016,20.6
67,10,12,2016,19.5
68,11,12,2016,20.3
69,12,12,2016,22.9
70,13,12,2016,24.1
71,14,12,2016,22.0
72,15,12,2016,17.3
73,16,12,2016,18.0
74,17,12,2016,18.1
75,18,12,2016,19.3
76,19,12,2016,21.5
77,20,12,2016,23.3
78,21,12,2016,24.4
79,22,12,2016,21.9
80,23,12,2016,21.2
81,24,12,2016,21.6
82,25,12,2016,22.8
83,26,12,2016,24.1
84,27,12,2016,19.1
85,28,12,2016,17.4
86,29,12,2016,17.3
87,30,12,2016,17.5
88,31,12,2016,18.8
89,1,1,2017,18.3
90,2,1,2017,20.0
91,3,1,2017,22.5
92,4,1,2017,22.5
93,5,1,2017,20.8
94,6,1,2017,21.0
95,6,1,2017,21.0
96,7,1,2017,22.5
97,7,1,2017,22.5
98,8,1,2017,22.9
99,9,1,2017,22.5
100,10,1,2017,21.2
101,11,1,2017,21.4
102,12,1,2017,15.1
103,13,1,2017,14.6
104,14,1,2017,15.9
105,15,1,2017,17.1
106,16,1,2017,16.0
107,17,1,2017,16.8
108,18,1,2017,17.4
109,19,1,2017,18.8
110,20,1,2017,17.9
111,21,1,2017,16.0
112,22,1,2017,17.2
113,23,1,2017,17.6
114,24,1,2017,18.6
115,24,1,2017,18.6
116,25,1,2017,21.0
117,25,1,2017,21.0
118,26,1,2017,21.0
119,27,1,2017,20.2
120,28,1,2017,20.7
121,29,1,2017,21.0
122,30,1,2017,21.3
123,31,1,2017,20.5
124,1,2,2017,21.2
125,2,2,2017,21.1
126,3,2,2017,20.6
127,4,2,2017,20.9
128,5,2,2017,21.3
129,6,2,2017,20.3
130,7,2,2017,22.0
131,8,2,2017,21.7
132,9,2,2017,17.2
133,10,2,2017,16.2
134,11,2,2017,16.0
135,12,2,2017,16.8
136,13,2,2017,17.1
137,14,2,2017,17.9
138,15,2,2017,18.9
139,16,2,2017,21.4
140,17,2,2017,21.9
141,18,2,2017,22.2
142,19,2,2017,21.4
143,20,2,2017,22.3
144,21,2,2017,23.9
145,22,2,2017,25.0
146,23,2,2017,21.3
147,24,2,2017,15.9
148,25,2,2017,14.9
149,28,2,2017,18.8
150,1,3,2017,16.9
151,2,3,2017,19.6
152,3,3,2017,20.4
153,4,3,2017,21.5
154,5,3,2017,23.0
155,6,3,2017,22.0
