,day,month,year,holiday,temp,increase,power
0,2,10,2016,1,28.0,-10.352011806067972,41308
1,3,10,2016,0,28.4,18.751815628933862,49054
2,6,10,2016,0,28.8,-0.6708059653816207,49753
3,7,10,2016,0,28.1,0.19295318875243705,49849
4,8,10,2016,1,28.3,-1.584786053882726,49059
5,9,10,2016,1,28.9,-6.822397521351843,45712
6,10,10,2016,0,28.5,8.404795239761986,49554
7,11,10,2016,0,28.4,-5.0349114097751935,47059
8,12,10,2016,0,29.1,7.649971312607577,50659
9,13,10,2016,0,26.0,-8.166367279259362,46522
10,14,10,2016,0,24.9,8.47985899144491,50467
11,15,10,2016,1,24.3,-19.58309390294648,40584
12,16,10,2016,1,27.1,-3.4299231224127738,39192
13,17,10,2016,0,28.0,12.885282710757297,44242
14,18,10,2016,0,28.5,6.22485421093079,46996
15,19,10,2016,0,28.3,-5.8111328623712675,44265
16,20,10,2016,0,27.8,7.527391844572461,47597
17,21,10,2016,0,28.7,-1.7164947370632604,46780
18,22,10,2016,1,29.2,3.5014963659683622,48418
19,23,10,2016,1,28.6,-5.977115948614153,45524
20,24,10,2016,0,28.3,20.31895264036552,54774
21,25,10,2016,0,26.7,-8.8892540256326,49905
22,26,10,2016,0,27.3,5.660755435327122,52730
23,27,10,2016,0,27.9,1.5114735444718377,53527
24,28,10,2016,0,28.2,9.576475423617989,58653
25,29,10,2016,1,27.8,-13.757182070823314,50584
26,30,10,2016,1,22.7,-19.80665823185197,40565
27,31,10,2016,0,21.2,11.492666091458151,45227
28,1,11,2016,0,22.3,-9.759656842151813,40813
29,2,11,2016,0,22.2,-2.312988508563448,39869
30,3,11,2016,0,22.8,2.2022122451027117,40747
31,4,11,2016,0,22.4,0.8368714261172602,41088
32,5,11,2016,1,23.8,0.4989291277258567,41293
33,6,11,2016,1,24.4,-4.5988424188119055,39394
34,7,11,2016,0,25.2,8.145910544753008,42603
35,8,11,2016,0,24.3,-2.5209492289275404,41529
36,9,11,2016,0,17.0,-2.2947819595945003,40576
37,10,11,2016,0,16.2,-1.6216482649842272,39918
38,11,11,2016,0,18.7,2.4500225462197505,40896
39,12,11,2016,1,21.6,-5.582453051643191,38613
40,13,11,2016,1,24.2,-2.0925595006862974,37805
41,14,11,2016,0,26.0,10.292289379711676,41696
42,15,11,2016,0,26.9,4.950115118956255,43760
43,16,11,2016,0,25.8,2.481718464351005,44846
44,17,11,2016,0,25.8,-0.8807920438835125,44451
45,18,11,2016,0,25.4,-0.6681514476614699,44154
46,19,11,2016,1,26.5,-4.9531186302486745,41967
47,20,11,2016,1,26.7,-6.90304286701456,39070
48,21,11,2016,0,27.2,5.229076017404658,41113
49,22,11,2016,0,27.5,11.00138642278598,45636
50,23,11,2016,0,26.9,0.3418353931107021,45792
51,24,11,2016,0,19.0,-14.081062194269741,39344
52,25,11,2016,0,18.7,-0.15758438389589266,39282
53,26,11,2016,1,18.6,-2.9835548088182877,38110
54,27,11,2016,1,19.2,-0.543164523747048,37903
55,28,11,2016,0,18.3,0.2453631638656571,37996
56,29,11,2016,0,19.0,13.825139488367196,43249
57,30,11,2016,0,21.0,2.2983190362782957,44243
58,1,12,2016,0,19.7,-11.08649955925231,39338
59,2,12,2016,0,21.3,2.2268544409985256,40214
60,3,12,2016,1,21.7,-1.7953946386830457,39492
61,4,12,2016,1,22.3,-7.279955434011952,36617
62,5,12,2016,0,22.9,24.745336865390392,45678
63,6,12,2016,0,23.0,-10.486448618591009,40888
64,7,12,2016,0,19.6,-1.271766777538642,40368
65,8,12,2016,0,20.3,-1.332738803012287,39830
66,9,12,2016,0,20.6,-0.9013306552849608,39471
67,10,12,2016,1,19.5,-0.7524511666793342,39174
68,11,12,2016,1,20.3,-6.35370398733854,36685
69,12,12,2016,0,22.9,10.75098814229249,40629
70,13,12,2016,0,24.1,5.0185827856949485,42668
71,14,12,2016,0,22.0,-1.7694759538764413,41913
72,15,12,2016,0,17.3,-1.0712666714384558,41464
73,16,12,2016,0,18.0,-2.493729500289408,40430
74,17,12,2016,1,18.1,-1.8377442493198117,39687
75,18,12,2016,1,19.3,-7.166074533222465,36843
76,19,12,2016,0,21.5,7.499389300545559,39606
77,20,12,2016,0,23.3,18.206837347876586,46817
78,21,12,2016,0,24.4,-11.382617425294232,41488
79,22,12,2016,0,21.9,-1.3642499035865792,40922
80,23,12,2016,0,21.2,0.021993059967743516,40931
81,24,12,2016,1,21.6,-2.848696586938994,39765
82,25,12,2016,1,22.8,-4.996856532126242,37778
83,26,12,2016,0,24.1,10.273174863677275,41659
84,27,12,2016,0,19.1,-2.5516695071893234,40596
85,28,12,2016,0,17.4,-0.9705389693565868,40202
