,date,power,temp,holiday,dayOfWeek,power_yesterday,increase
0,2016-10-02,41308,28.0,1,6,46078,-10.352011806067972
1,2016-10-03,49054,28.4,0,0,41308,18.751815628933862
2,2016-10-06,49753,28.8,0,3,50089,-0.6708059653816207
3,2016-10-07,49849,28.1,0,4,49753,0.19295318875243703
4,2016-10-08,49059,28.3,1,5,49849,-1.5847860538827259
5,2016-10-09,45712,28.9,1,6,49059,-6.822397521351842
6,2016-10-10,49554,28.5,0,0,45712,8.404795239761988
7,2016-10-11,47059,28.4,0,1,49554,-5.034911409775194
8,2016-10-12,50659,29.1,0,2,47059,7.649971312607577
9,2016-10-13,46522,26.0,0,3,50659,-8.166367279259362
10,2016-10-14,50467,24.9,0,4,46522,8.479858991444909
11,2016-10-15,40584,24.3,1,5,50467,-19.58309390294648
12,2016-10-16,39192,27.1,1,6,40584,-3.4299231224127738
13,2016-10-17,44242,28.0,0,0,39192,12.885282710757298
14,2016-10-18,46996,28.5,0,1,44242,6.22485421093079
15,2016-10-19,44265,28.3,0,2,46996,-5.811132862371266
16,2016-10-20,47597,27.8,0,3,44265,7.5273918445724615
17,2016-10-21,46780,28.7,0,4,47597,-1.7164947370632604
18,2016-10-22,48418,29.2,1,5,46780,3.5014963659683622
19,2016-10-23,45524,28.6,1,6,48418,-5.977115948614152
20,2016-10-24,54774,28.3,0,0,45524,20.31895264036552
21,2016-10-25,49905,26.7,0,1,54774,-8.8892540256326
22,2016-10-26,52730,27.3,0,2,49905,5.660755435327122
23,2016-10-27,53527,27.9,0,3,52730,1.5114735444718377
24,2016-10-28,58653,28.2,0,4,53527,9.576475423617987
25,2016-10-29,50584,27.8,1,5,58653,-13.757182070823317
26,2016-10-30,40565,22.7,1,6,50584,-19.80665823185197
27,2016-10-31,45227,21.2,0,0,40565,11.492666091458153
28,2016-11-01,40813,22.3,0,1,45227,-9.759656842151813
29,2016-11-02,39869,22.2,0,2,40813,-2.3129885085634476
30,2016-11-03,40747,22.8,0,3,39869,2.2022122451027113
31,2016-11-04,41088,22.4,0,4,40747,0.8368714261172602
32,2016-11-05,41293,23.8,1,5,41088,0.4989291277258567
33,2016-11-06,39394,24.4,1,6,41293,-4.5988424188119055
34,2016-11-07,42603,25.2,0,0,39394,8.145910544753008
35,2016-11-08,41529,24.3,0,1,42603,-2.5209492289275404
36,2016-11-09,40576,17.0,0,2,41529,-2.2947819595945003
37,2016-11-10,39918,16.2,0,3,40576,-1.6216482649842272
38,2016-11-11,40896,18.7,0,4,39918,2.4500225462197505
39,2016-11-12,38613,21.6,1,5,40896,-5.582453051643192
40,2016-11-13,37805,24.2,1,6,38613,-2.0925595006862974
41,2016-11-14,41696,26.0,0,0,37805,10.292289379711677
42,2016-11-15,43760,26.9,0,1,41696,4.950115118956255
43,2016-11-16,44846,25.8,0,2,43760,2.4817184643510055
44,2016-11-17,44451,25.8,0,3,44846,-0.8807920438835125
45,2016-11-18,44154,25.4,0,4,44451,-0.6681514476614699
46,2016-11-19,41967,26.5,1,5,44154,-4.9531186302486745
47,2016-11-20,39070,26.7,1,6,41967,-6.90304286701456
48,2016-11-21,41113,27.2,0,0,39070,5.229076017404658
49,2016-11-22,45636,27.5,0,1,41113,11.00138642278598
50,2016-11-23,45792,26.9,0,2,45636,0.3418353931107021
51,2016-11-24,39344,19.0,0,3,45792,-14.081062194269741
52,2016-11-25,39282,18.7,0,4,39344,-0.15758438389589263
53,2016-11-26,38110,18.6,1,5,39282,-2.983554808818288
54,2016-11-27,37903,19.2,1,6,38110,-0.543164523747048
55,2016-11-28,37996,18.3,0,0,37903,0.24536316386565707
56,2016-11-29,43249,19.0,0,1,37996,13.825139488367197
57,2016-11-30,44243,21.0,0,2,43249,2.2983190362782953
58,2016-12-01,39338,19.7,0,3,44243,-11.08649955925231
59,2016-12-02,40214,21.3,0,4,39338,2.2268544409985256
60,2016-12-03,39492,21.7,1,5,40214,-1.795394638683046
61,2016-12-04,36617,22.3,1,6,39492,-7.279955434011952
62,2016-12-05,45678,22.9,0,0,36617,24.745336865390392
63,2016-12-06,40888,23.0,0,1,45678,-10.486448618591007
64,2016-12-07,40368,19.6,0,2,40888,-1.271766777538642
65,2016-12-08,39830,20.3,0,3,40368,-1.332738803012287
66,2016-12-09,39471,20.6,0,4,39830,-0.901330655284961
67,2016-12-10,39174,19.5,1,5,39471,-0.7524511666793342
68,2016-12-11,36685,20.3,1,6,39174,-6.353703987338541
69,2016-12-12,40629,22.9,0,0,36685,10.75098814229249
70,2016-12-13,42668,24.1,0,1,40629,5.018582785694948
71,2016-12-14,41913,22.0,0,2,42668,-1.7694759538764413
72,2016-12-15,41464,17.3,0,3,41913,-1.071266671438456
73,2016-12-16,40430,18.0,0,4,41464,-2.4937295002894078
74,2016-12-17,39687,18.1,1,5,40430,-1.837744249319812
75,2016-12-18,36843,19.3,1,6,39687,-7.166074533222466
76,2016-12-19,39606,21.5,0,0,36843,7.499389300545559
77,2016-12-20,46817,23.3,0,1,39606,18.206837347876583
78,2016-12-21,41488,24.4,0,2,46817,-11.382617425294232
79,2016-12-22,40922,21.9,0,3,41488,-1.3642499035865792
80,2016-12-23,40931,21.2,0,4,40922,0.021993059967743513
81,2016-12-24,39765,21.6,1,5,40931,-2.8486965869389946
82,2016-12-25,37778,22.8,1,6,39765,-4.996856532126242
83,2016-12-26,41659,24.1,0,0,37778,10.273174863677273
84,2016-12-27,40596,19.1,0,1,41659,-2.551669507189323
85,2016-12-28,40202,17.4,0,2,40596,-0.9705389693565868
86,2016-12-29,39153,17.3,0,3,40202,-2.6093229192577483
87,2016-12-30,43758,17.5,0,4,39153,11.761550839016168
88,2016-12-31,36894,18.8,1,5,43758,-15.686274509803921
89,2017-01-01,31949,18.3,1,6,36894,-13.403263403263404
90,2017-01-02,36411,20.0,0,0,31949,13.966008325769193
91,2017-01-03,45302,22.5,0,1,36411,24.418444975419515
92,2017-01-04,41450,22.5,0,2,45302,-8.502935852721734
93,2017-01-05,41613,20.8,0,3,41450,0.39324487334137515
94,2017-01-06,41062,21.0,0,4,41613,-1.324105447816788
95,2017-01-06,41062,21.0,0,4,41613,-1.324105447816788
96,2017-01-07,39938,22.5,1,5,41062,-2.7373240465637325
97,2017-01-07,39938,22.5,1,5,41062,-2.7373240465637325
98,2017-01-08,38858,22.9,1,6,39938,-2.704191496820071
99,2017-01-09,40694,22.5,0,0,38858,4.724895774357918
100,2017-01-10,41297,21.2,0,1,40694,1.481790927409446
101,2017-01-11,43064,21.4,0,2,41297,4.278761169092186
102,2017-01-12,41684,15.1,0,3,43064,-3.204532788407951
103,2017-01-13,45159,14.6,0,4,41684,8.336532002686882
104,2017-01-14,40326,15.9,1,5,45159,-10.702185610841692
